자재,자재 내역,Stock Quantity on Period End,3평판,대분류,소분류,재고일수
9305648,[EA]베리어리페어클렌저150ml,3361.0,1553.0,베리어,베리어,64.92594977462976
9305649,[단종][RX]포스트레이저젤드레싱마스크시트세트(38ml*1ea),300.0,0.0,포스트레이저,병의원,999.0
9305782,[EA]디더블유이지에프멜라토닝원데이앰플0.7ml(샤쉐),13995.0,1567.3333333333333,원데이앰플,기타,267.8753721820502
9305813,[OEM]Lekarka Moist Shine Mist_B_50ml,164.0,0.0,기타,기타,999.0
9305814,[단종][EX]디더블유이지에프멜라토닝패치(5g*4ea)(썸머에디션),4309.0,513.0,임가공,임가공,251.98830409356722
9305815,[EX]디더블유이지에프멜라토닝패치1매입(썸머에디션),14.0,0.0,원데이앰플,기타,999.0
9305818,[EA]디더블유이지에프멜라토닝원데이앰플12ml,1000.0,0.0,원데이앰플,12ML,999.0
9305857,[EA]베리어리페어마스크(25G*4매입),5154.0,3690.6666666666665,베리어,베리어,41.894869942196536
9305858,[EA]베리어리페어미스트60ML,4862.0,1977.0,베리어,베리어,73.77845220030349
9305860,[단종][EA]디더블유이지에프에센스토너145ml,154.0,1519.0,기타,기타,3.0414746543778803
9305862,[EA]디더블유이지에프멜라토닝원데이앰플(OY기획)(12ml+1ml),7185.0,1520.0,원데이앰플,올리브영,141.8092105263158
9305864,[EA]베리어리페어토너200ml,16097.0,1355.0,베리어,베리어,356.39114391143914
9305865,[EA]디더블유이지에프더마톡스니들샷(40mg*4ea),7971.0,19.33333333333333,기타,기타,12368.793103448279
9305882,[단종][EA]아크네클리어에스오에스스팟2ml,1942.0,2009.3333333333333,클리어,클리어,28.994691439946916
9305884,[단종][EA]아크네클리어토너200ml,1175.0,41.0,클리어,클리어,859.7560975609756
9305885,[단종][EA]아크네클리어플루이드세럼50g,120.0,488.3333333333333,클리어,클리어,7.372013651877133
9305942,[EA]옴므올인원플루이드80ml,10968.0,1757.3333333333333,기타,기타,187.2382397572079
9305997,[단종][EA]아크네클리어필1.9ml,8341.0,1326.3333333333333,클리어,클리어,188.66298064840413
9306018,[EA]베리어리페어크림30g,1965.0,1145.3333333333333,베리어,베리어,51.46973224679861
9306037,[EA]디더블유이지에프멜라토닝원데이앰플8ml,2.0,0.0,원데이앰플,8ML,999.0
9306140,[EA]디더블유이지에프크림리페어솔루션50ml,13412.0,1784.0,기타,기타,225.53811659192826
9306141,[단종[EA]디더블유이지에프멜라토닝원데이앰플(기획)(12ml+0.7ml),842.0,107.0,원데이앰플,올리브영,236.07476635514018
9306242,[EA]베리어리페어크림50ml,18391.0,3635.6666666666665,베리어,베리어,151.75483634363255
9306420,"[세트]뉴이지듀3X_VIP5종(미스트,클렌저,선,기미크림,기미앰플8ml)",9.0,0.0,임가공,임가공,999.0
